id;ma;ten;diem;noidung;sudung
1;array Utah;Neck Liaison;18552;SDD;77659
2;connect;Saint Martin Kids back-end;29416;Chief;96751
3;indigo Manors;Rubber;12518;Ethiopian Birr architectures;20052
4;Avon;payment;32592;South Carolina;43324
5;Architect;Health;7244;disintermediate Walks Credit Card Account;29166
6;El Salvador Colon US Dollar XSS;Lead sensor bypass;14592;Tasty;57090
7;Health;Savings Account Rupiah;55964;Automotive approach Borders;8786
8;revolutionary Sports Fantastic;benchmark Planner;20085;Turkish Lira overriding Rustic Metal Computer;95154
9;Metal Lead;Communications Generic Granite Gloves;70906;XSS alarm neural;33945
10;indexing Handcrafted;Malta Auto Loan Account online;48090;Sleek Wooden Fish markets;72482
