id;ma;ten;thoigiantao;thoigianbatdau;thoigianketthuc;muctieu;noidung;tinhcapthiet;nguoihuongdan;ketqua;xeploai;phanloai;trangthai;tenchunhiem;sudung
1;Rubber Mall Investment Account;scalable Configuration calculating;2020-07-04;2020-07-05;2020-07-05;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source;66519;63375;52306;granular HDD whiteboard;81659
2;models e-enable;Money Market Account Saint Helena;2020-07-05;2020-07-05;2020-07-05;customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;Belize Dollar Bacon;87862;62007;49542;reboot South Carolina;99769
3;copy;Robust hack Electronics;2020-07-05;2020-07-04;2020-07-04;USB scalable;Bosnia and Herzegovina generate Creek;syndicate haptic;Bedfordshire;application driver;64114;59844;69394;Portugal Persistent;34569
4;Chips National Idaho;vortals value-added;2020-07-04;2020-07-05;2020-07-04;Granite Generic;Clothing;Personal Loan Account Awesome International;Lead alarm Cheese;maximize Practical Steel Fish;10424;93436;84043;District Wooden Visionary;16552
5;yellow programming strategy;Czech Republic;2020-07-04;2020-07-04;2020-07-05;Handmade Plastic Mouse neural;Money Market Account;synergize;JSON National;interactive capacitor;45221;58706;22460;Unions;14085
6;Towels;Table Automotive;2020-07-05;2020-07-05;2020-07-04;modular red;payment;Strategist;Towels applications;Zimbabwe;18446;50219;29959;application scale;42678
7;solid state;turquoise orchid;2020-07-05;2020-07-05;2020-07-05;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;Mobility;37330;27230;27074;payment schemas Industrial;15615
8;bus withdrawal Toys;Enterprise-wide;2020-07-05;2020-07-04;2020-07-05;Checking Account;multi-byte Salad;Idaho bandwidth;Visionary pixel SAS;Markets Branding Concrete;40639;29314;32399;Small deposit microchip;84812
9;Wooden;North Carolina infomediaries Chief;2020-07-04;2020-07-04;2020-07-05;solution-oriented facilitate;Computers generating;users Guinea;SQL lavender;transmit Wooden COM;48743;98536;89455;digital supply-chains;2246
10;optimal Peru;incentivize purple;2020-07-04;2020-07-04;2020-07-05;Granite Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;26368;90001;26649;pixel Phased payment;49427
