id;manguonkinhphi;tennguonkinhphi;noidung;sotiencap;sudung
1;Polarised navigate;Roads bypass;Concrete;13311;71334
2;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;Hungary Configurable;26924;73740
3;Chair Kentucky;blue internet solution Concrete;distributed Ranch impactful;64882;49844
4;Awesome Russian Federation;Pennsylvania Michigan;Cotton encompassing;36308;89964
5;Home Loan Account Grass-roots;Director Personal Loan Account;Music;22533;15285
6;Multi-tiered Pizza;Gorgeous;Car Internal Small;52451;1824
7;Rand Namibia Dollar Executive;incubate Agent TCP;Engineer Bedfordshire feed;82086;92937
8;Nebraska Mississippi stable;mint green Director system;Buckinghamshire;24240;52984
9;pixel;asymmetric Montana Sausages;internet solution Checking Account;36923;33660
10;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;68150;271
