id;ten;donvi;trachnhiem;sudung
1;invoice Representative whiteboard;Bedfordshire;61784;83087
2;COM back up Frozen;East Caribbean Dollar Nepalese Rupee lavender;65888;82683
3;Guarani Colorado;deposit Orchestrator;4821;31811
4;AI Facilitator transmit;Iowa;73844;10910
5;withdrawal copy Dynamic;solid state program;79781;31719
6;SAS embrace;Nigeria;575;32838
7;withdrawal;mesh Iceland Krona;38855;54849
8;Savings Account Haiti;Advanced Awesome Rubber Mouse;66821;64257
9;connect Berkshire;XSS Suriname;47918;91423
10;cross-platform;enable;39882;52662
