id;matiendo;kybaocao;noidung;thoigianbatdau;thoigianketthuc;khoiluonghoanthanh;ghichu;sudung
1;Trail;didactic Granite;Tasty Fresh Pizza Jewelery monitoring;2020-07-04;2020-07-05;73521;fresh-thinking;25264
2;Computers Saint Helena Pound;Borders;Integration;2020-07-05;2020-07-04;89447;Facilitator;6151
3;RSS Borders;generating open-source Ouguiya;AGP circuit;2020-07-05;2020-07-04;86816;Synchronised Pizza;16040
4;next-generation Quality-focused Quality;Credit Card Account;purple SCSI Accountability;2020-07-05;2020-07-05;87907;Music copying Reduced;90870
5;Jewelery;synthesizing Bedfordshire;black;2020-07-05;2020-07-04;32643;New York Concrete expedite;907
6;synthesizing Wooden;back up;web services copying;2020-07-05;2020-07-04;17949;bypass solid state Chicken;77085
7;Paradigm;application;hard drive;2020-07-05;2020-07-05;5792;Small SCSI;99014
8;Yemeni Rial Shoals deposit;navigate Movies;copying;2020-07-05;2020-07-05;81878;Public-key Grocery Ball;46853
9;Group Practical GB;neural Guinea Franc;bypassing;2020-07-04;2020-07-04;23005;Plastic XSS;96323
10;Grocery;Interactions applications invoice;compress methodologies;2020-07-05;2020-07-05;32074;program override red;86812
